Date,Inflow,Outflow
2019/12/27,442681,402364
2019/12/28,449345,414563
2019/12/29,444238,445953
2019/12/30,440562,475681
2019/12/31,450231,486943
2020/1/1,457550,525553
2020/1/2,456390,450164
2020/1/3,426403,461397
2020/1/4,397123,463059
2020/1/5,437539,421226
2020/1/6,388139,430367
2020/1/7,377332,463653
2020/1/8,396838,542354
2020/1/9,378027,553714
2020/1/10,423621,628798
2020/1/11,433716,661245
2020/1/12,504049,570895
2020/1/13,426155,546357
2020/1/14,340894,443603
2020/1/15,332274,462946
2020/1/16,348311,476793
2020/1/17,360050,502735
2020/1/18,402406,578278
2020/1/19,425606,636521
2020/1/20,435377,718369
2020/1/21,300216,720872
2020/1/22,223394,639957
2020/1/23,121091,384952
