S,Q,I,Q,R,D
11252280.0,0.0,37.0,0.0,0.0,0.0
11287058.636892578,4.316313930300149,21.752318597062484,14.964331112235847,-0.7800688706184712,0.11021265378117961
11285340.663676731,8.158298200634887,12.86962933168097,23.19421550968719,-1.2574749906060707,0.3716552177147793
11250218.484506218,12.125148339428268,7.719849834263689,27.526992069538476,-1.5713171995530812,0.7148207403657442
11213502.618457392,16.690066356516553,4.7670246605364115,29.626575912580606,-1.8017708201265976,1.099646499194903
11145494.61135042,21.290081996963387,3.11707013394793,30.47254894980954,-0.9944110961816947,1.5033595936642457
11151715.298101442,27.0877879847964,2.2337410533452524,30.64141498978504,-1.1744221414445541,1.9133766704375104
11116714.197576432,34.534568304136506,1.8236833385755487,30.476033488456196,-1.3549776613701083,2.3231160966789295
11050768.715978196,44.18399438587864,1.7229400322087554,30.18941884334544,-1.5419676387349306,2.729636179663519
11067070.098251,55.737801275338754,1.8455518647899318,29.922713576058243,-1.7366352833435772,3.132317564619072
11024826.696784504,70.79755467608693,2.1353622628582065,29.775207988870115,-1.9370410895246928,3.5321316554876074
10938486.34811042,89.4422637622576,2.5895372465799444,29.827760855533054,-2.1388964525629968,3.9312241648857404
10792946.863334095,111.77446921188562,3.2078994648424777,30.157302887145754,-2.335801893368184,4.332796230310968
10617231.020151269,138.92765768601362,3.9922768064080785,30.838186301206235,-2.519333352788774,4.741061286696773
10412019.226291863,171.37804201048928,4.965103683853196,31.948371048910772,-2.679049914858088,5.16124130454536
10184447.731532058,210.7483174570887,6.1485430039567275,33.57425451056354,-2.802307206270619,5.5996601727386155
10117547.253736781,261.15406997058113,7.586202748979218,35.81609384397298,-2.873983892645274,6.063880544636342
9997277.163091833,323.9596131248942,9.381275728109474,38.80888504669145,-2.8758738439324874,6.563008107418751
9894480.372777665,404.9533532254695,11.620137299404762,42.73101861396251,-2.7855477496927223,7.10826094187261
9763698.897811254,505.6826593236724,14.462644649372361,47.818398647032524,-2.5751068119265548,7.713592934282873
9635082.230126293,629.1806036025936,18.031933435609425,54.37020086126084,-2.2094329858983865,8.396568791448425
9492231.858449452,780.4104323011018,22.457546240654736,62.73912745775814,-1.6446759093087853,9.179120455323552
9316162.638395783,959.8490851342087,27.90916147803069,73.34176192184424,-0.8267187197740589,10.088314398745977
9105013.251655916,1172.1357660230606,34.49550920468916,86.64933427549909,0.31052935325204123,11.157205221658689
8821750.856334908,1415.3216740804573,42.367903462259314,103.1822191260131,1.8463995456569968,12.42546887150455
8400775.23179429,1701.88341532589,51.578579557464344,123.49148602571569,3.8747027993363172,13.940021995523912
7983817.089269141,2058.0659254043458,62.39326991669133,148.1914532308625,5.504616462633189,15.755465838391375
7719406.558910396,2560.064333330727,75.46268936159463,178.1139309744767,7.864259503844071,17.935876427518163
