date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead,现有确诊,beta1,beta2,sigma,gamma1,gamma2,q,k1,k2
2019/12/1,中国,CN,湖北省,420000,武汉市,420100,1,0,0,0,1,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2019/12/2,中国,CN,湖北省,420000,武汉市,420100,1,0,0,0,1,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2019/12/3,中国,CN,湖北省,420000,武汉市,420100,1,0,0,0,1,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2019/12/4,中国,CN,湖北省,420000,武汉市,420100,1,0,0,0,1,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2019/12/5,中国,CN,湖北省,420000,武汉市,420100,1,0,0,0,1,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2019/12/6,中国,CN,湖北省,420000,武汉市,420100,1,0,0,0,1,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2019/12/7,中国,CN,湖北省,420000,武汉市,420100,1,0,0,0,1,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2019/12/8,中国,CN,湖北省,420000,武汉市,420100,1,0,0,0,1,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2019/12/9,中国,CN,湖北省,420000,武汉市,420100,1,0,0,0,1,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2019/12/10,中国,CN,湖北省,420000,武汉市,420100,1,0,0,0,1,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2019/12/11,中国,CN,湖北省,420000,武汉市,420100,4,0,0,0,4,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2019/12/12,中国,CN,湖北省,420000,武汉市,420100,4,0,0,0,4,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2019/12/13,中国,CN,湖北省,420000,武汉市,420100,4,0,0,0,4,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2019/12/14,中国,CN,湖北省,420000,武汉市,420100,4,0,0,0,4,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2019/12/15,中国,CN,湖北省,420000,武汉市,420100,6,0,0,0,6,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2019/12/16,中国,CN,湖北省,420000,武汉市,420100,6,0,0,0,6,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2019/12/17,中国,CN,湖北省,420000,武汉市,420100,7,0,0,0,7,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2019/12/18,中国,CN,湖北省,420000,武汉市,420100,8,0,0,0,8,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2019/12/19,中国,CN,湖北省,420000,武汉市,420100,9,0,0,0,9,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2019/12/20,中国,CN,湖北省,420000,武汉市,420100,14,0,0,0,14,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2019/12/21,中国,CN,湖北省,420000,武汉市,420100,18,0,0,0,18,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2019/12/22,中国,CN,湖北省,420000,武汉市,420100,21,0,0,0,21,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2019/12/23,中国,CN,湖北省,420000,武汉市,420100,29,0,0,0,29,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2019/12/24,中国,CN,湖北省,420000,武汉市,420100,30,0,0,0,30,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2019/12/25,中国,CN,湖北省,420000,武汉市,420100,33,0,0,0,33,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2019/12/26,中国,CN,湖北省,420000,武汉市,420100,35,0,0,0,35,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2019/12/27,中国,CN,湖北省,420000,武汉市,420100,37,0,0,0,37,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2019/12/28,中国,CN,湖北省,420000,武汉市,420100,37,0,0,0,37,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2019/12/29,中国,CN,湖北省,420000,武汉市,420100,37,0,0,0,37,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2019/12/30,中国,CN,湖北省,420000,武汉市,420100,37,0,0,0,37,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2019/12/31,中国,CN,湖北省,420000,武汉市,420100,40,0,0,0,40,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2020/1/1,中国,CN,湖北省,420000,武汉市,420100,43,0,0,0,43,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2020/1/2,中国,CN,湖北省,420000,武汉市,420100,44,0,0,0,44,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2020/1/3,中国,CN,湖北省,420000,武汉市,420100,41,0,0,0,41,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2020/1/4,中国,CN,湖北省,420000,武汉市,420100,41,0,0,0,41,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2020/1/5,中国,CN,湖北省,420000,武汉市,420100,41,0,0,0,41,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2020/1/6,中国,CN,湖北省,420000,武汉市,420100,41,0,0,0,41,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2020/1/7,中国,CN,湖北省,420000,武汉市,420100,41,0,0,0,41,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2020/1/8,中国,CN,湖北省,420000,武汉市,420100,41,0,0,0,41,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2020/1/9,中国,CN,湖北省,420000,武汉市,420100,41,0,0,0,41,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2020/1/10,中国,CN,湖北省,420000,武汉市,420100,41,0,2,1,38,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2020/1/11,中国,CN,湖北省,420000,武汉市,420100,41,0,6,1,34,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2020/1/12,中国,CN,湖北省,420000,武汉市,420100,41,0,7,1,33,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
2020/1/13,中国,CN,湖北省,420000,武汉市,420100,41,0,7,1,33,0.32844575,0.31867058,0.00391007,0.06940371,0.00684262,0.68914956,0.01075269,0.00782014
